iter,res_pri,res_dual,gap,x_nrm_inf,y_nrm_inf,s_nrm_inf,x_nrm_2,y_nrm_2,s_nrm_2,x_nrm_inf_normalized,y_nrm_inf_normalized,s_nrm_inf_normalized,x_nrm_2_normalized,y_nrm_2_normalized,s_nrm_2_normalized,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,ax_nrm_inf,px_nrm_inf,aty_nrm_inf,b_nrm_inf,c_nrm_inf,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
0,9.8095238095238091e-01,1.9428571428571431e-01,1.9809523809523810e-01,0.0000000000000000e+00,1.9809523809523810e-01,1.9047619047619049e-01,0.0000000000000000e+00,1.9904534061124773e-01,1.9518001458970666e-01,0.0000000000000000e+00,1.9809523809523810e-01,1.9047619047619049e-01,0.0000000000000000e+00,1.9904534061124773e-01,1.9518001458970666e-01,9.8095238095238091e-01,1.9428571428571431e-01,1.0000000000000000e+00,1.9521718819533651e-01,9.8076923076923084e-01,nan,nan,0.0000000000000000e+00,1.9809523809523810e-01,1.0000000000000000e+00,0.0000000000000000e+00,9.8095238095238091e-01,1.9428571428571431e-01,1.9809523809523810e-01,9.8095238095238091e-01,1.9428571428571431e-01,1.0000000000000000e+00,1.9521718819533651e-01,9.8076923076923084e-01,nan,nan,0.0000000000000000e+00,1.9809523809523810e-01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9428571428571431e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.0000000000000001e-01,1.4999999999999999e-01,9.8095238095238096e-02,1.4714285714285713e-01,0.0000000000000000e+00,0,0,3.1932700000000000e-04,
1,9.3665514264726590e-01,3.3969394542697234e-01,3.5345129288140997e-01,1.5075061251366195e-01,8.7972527970314307e-01,1.5762988392852790e+00,1.5075166192733735e-01,8.8406802000133800e-01,1.6152257578027087e+00,1.5075061251366195e-01,8.7972527970314307e-01,1.5762988392852790e+00,1.5075166192733735e-01,8.8406802000133800e-01,1.6152257578027087e+00,2.3308102281199026e+00,8.4530803962046897e-01,2.3376376380299719e+00,8.4935525507534737e-01,9.6430450669441103e-01,nan,nan,3.6750902860494991e-05,3.5348804378427046e-01,2.4884401120484321e+00,0.0000000000000000e+00,9.3665514264726590e-01,3.3969394542697234e-01,3.5345129288140997e-01,2.3308102281199026e+00,8.4530803962046897e-01,2.3376376380299719e+00,8.4935525507534737e-01,9.6430450669441103e-01,nan,nan,3.6750902860494991e-05,3.5348804378427046e-01,2.4884401120484321e+00,0.0000000000000000e+00,1.5069436301500043e+00,3.0150122502732393e-03,8.4832305187074220e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7290665713944462e-01,4.0935998570916693e-01,2.3948299981760546e-01,3.5922449972640819e-01,0.0000000000000000e+00,0,0,5.4170200000000003e-04,
2,8.6707563310157332e-01,4.8184126084800388e-01,5.1522327480865038e-01,2.8972500202387436e-01,1.2010423535052637e+00,3.0967441502587185e+00,2.8973318957303562e-01,1.2078625224644988e+00,3.1732192318073618e+00,2.8972500202387436e-01,1.2010423535052637e+00,3.0967441502587185e+00,2.8973318957303562e-01,1.2078625224644988e+00,3.1732192318073618e+00,2.0200294778841998e+00,1.1225474611622916e+00,2.0566581311722683e+00,1.1279163576747546e+00,9.3946891873519944e-01,nan,nan,1.5553145356390360e-04,5.1537880626221422e-01,2.3297038929100711e+00,0.0000000000000000e+00,8.6707563310157332e-01,4.8184126084800388e-01,5.1522327480865038e-01,2.0200294778841998e+00,1.1225474611622916e+00,2.0566581311722683e+00,1.1279163576747546e+00,9.3946891873519944e-01,nan,nan,1.5553145356390360e-04,5.1537880626221422e-01,2.3297038929100711e+00,0.0000000000000000e+00,2.8950718690891257e+00,5.7945000404774870e-03,1.1283419612027692e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7552685374873565e-01,4.1329028062310341e-01,2.1189110098290531e-01,3.1783665147435802e-01,0.0000000000000000e+00,0,0,7.4490599999999993e-04,
3,7.6727475070289497e-01,6.2038911545875464e-01,6.8936559742217762e-01,4.9129899653526443e-01,1.4652041247950112e+00,4.9386709269696647e+00,4.9132495127419951e-01,1.4765512814856274e+00,5.0606343036113772e+00,4.9129899653526443e-01,1.4652041247950112e+00,4.9386709269696647e+00,4.9132495127419951e-01,1.4765512814856274e+00,5.0606343036113772e+00,1.6282365217092103e+00,1.3165299842532729e+00,1.7025118111077542e+00,1.3228203909538208e+00,9.0523630239543684e-01,nan,nan,5.4165565774678373e-04,6.8990725307992440e-01,2.1221036144061749e+00,0.0000000000000000e+00,7.6727475070289497e-01,6.2038911545875464e-01,6.8936559742217762e-01,1.6282365217092103e+00,1.3165299842532729e+00,1.7025118111077542e+00,1.3228203909538208e+00,9.0523630239543684e-01,nan,nan,5.4165565774678373e-04,6.8990725307992440e-01,2.1221036144061749e+00,0.0000000000000000e+00,4.9079398417861615e+00,1.0100247132966160e-02,1.3263559641839782e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8668498021440991e-01,4.3002747032161476e-01,1.7570646095113052e-01,2.6355969142669577e-01,0.0000000000000000e+00,0,0,9.6001599999999995e-04,
4,6.2922007902884092e-01,7.5375032639764328e-01,8.8239182714834674e-01,6.9511015539933396e-01,1.6562185521683650e+00,6.9373126665961600e+00,6.9517320376642389e-01,1.6766384900079414e+00,7.1086362996651395e+00,6.9511015539933396e-01,1.6562185521683650e+00,6.9373126665961600e+00,6.9517320376642389e-01,1.6766384900079414e+00,7.1086362996651395e+00,1.1772742204837301e+00,1.4102709966260771e+00,1.3657767017166318e+00,1.4170007331546453e+00,8.5989448546479497e-01,nan,nan,1.4052876379843640e-03,8.8379711478633116e-01,1.8710054871433441e+00,0.0000000000000000e+00,6.2922007902884092e-01,7.5375032639764328e-01,8.8239182714834674e-01,1.1772742204837301e+00,1.4102709966260771e+00,1.3657767017166318e+00,1.4170007331546453e+00,8.5989448546479497e-01,nan,nan,1.4052876379843640e-03,8.8379711478633116e-01,1.8710054871433441e+00,0.0000000000000000e+00,6.9417391239889170e+00,1.8724860008845372e-02,1.4241731997340639e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8842978650876261e-01,4.3264467976314391e-01,1.5201288086028386e-01,2.2801932129042579e-01,0.0000000000000000e+00,0,0,1.1330570000000000e-03,
5,5.5214748734697616e-01,8.7773330158648644e-01,1.1034327789293221e+00,9.0387562572072955e-01,1.7654054448389020e+00,8.9099181886793684e+00,9.0400153438898379e-01,1.8031765692753086e+00,9.1299617667771749e+00,9.0387562572072955e-01,1.7654054448389020e+00,8.9099181886793684e+00,9.0400153438898379e-01,1.8031765692753086e+00,9.1299617667771749e+00,8.7810801201514377e-01,1.3959035623596943e+00,1.1283241666214368e+00,1.4025548075919307e+00,8.0093843542163679e-01,nan,nan,3.3202160433068156e-03,1.1067529949726289e+00,1.5903504627620084e+00,0.0000000000000000e+00,5.5214748734697616e-01,8.7773330158648644e-01,1.1034327789293221e+00,8.7810801201514377e-01,1.3959035623596943e+00,1.1283241666214368e+00,1.4025548075919307e+00,8.0093843542163679e-01,nan,nan,3.3202160433068156e-03,1.1067529949726289e+00,1.5903504627620084e+00,0.0000000000000000e+00,9.0236689312150400e+00,3.0174651984509648e-02,1.4139810748741088e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.8754843624508852e-01,4.3132265436763279e-01,1.6719828469405762e-01,2.5079742704108643e-01,0.0000000000000000e+00,0,0,1.3076099999999998e-03,
6,8.0756668411733157e-01,9.8454018452157044e-01,1.3669067185817498e+00,1.0875288054152050e+00,1.7905451819330198e+00,1.0670772672584810e+01,1.0877521985005434e+00,1.8588679134526116e+00,1.0934310442099989e+01,1.0875288054152050e+00,1.7905451819330198e+00,1.0670772672584810e+01,1.0877521985005434e+00,1.8588679134526116e+00,1.0934310442099989e+01,1.0466257291017569e+00,1.2759876165287092e+00,1.0868016130039171e+00,1.2820549548753510e+00,7.2477265903785426e-01,nan,nan,7.3306502790488528e-03,1.3742373688607987e+00,1.2960239069863515e+00,0.0000000000000000e+00,8.0756668411733157e-01,9.8454018452157044e-01,1.3669067185817498e+00,1.0466257291017569e+00,1.2759876165287092e+00,1.0868016130039171e+00,1.2820549548753510e+00,7.2477265903785426e-01,nan,nan,7.3306502790488528e-03,1.3742373688607987e+00,1.2960239069863515e+00,0.0000000000000000e+00,1.0853243945303143e+01,4.4088217697814347e-02,1.2977381926370133e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.7823367481867267e-01,4.1735051222800912e-01,1.7375033322361033e-01,2.6062549983541561e-01,0.0000000000000000e+00,0,0,1.5158620000000000e-03,
7,1.1712473410798323e+00,1.0578997655212927e+00,1.6966125164113881e+00,1.2373745789513659e+00,1.7411527249008412e+00,1.2085762983271502e+01,1.2377373032902934e+00,1.8593240611992119e+00,1.2384258072873310e+01,1.2373745789513659e+00,1.7411527249008412e+00,1.2085762983271502e+01,1.2377373032902934e+00,1.8593240611992119e+00,1.2384258072873310e+01,1.1797780177029358e+00,1.0656048850829720e+00,1.2243239770793408e+00,1.0706563822971140e+00,6.2622443227896341e-01,nan,nan,1.5975186631121439e-02,1.7125877030425094e+00,1.0072834117303000e+00,0.0000000000000000e+00,1.1712473410798323e+00,1.0578997655212927e+00,1.6966125164113881e+00,1.1797780177029358e+00,1.0656048850829720e+00,1.2243239770793408e+00,1.0706563822971140e+00,6.2622443227896341e-01,nan,nan,1.5975186631121439e-02,1.7125877030425094e+00,1.0072834117303000e+00,0.0000000000000000e+00,1.2343782756935871e+01,5.9926065155576920e-02,1.0903523766619994e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.6422301643784557e-01,3.9633452465676838e-01,1.7218664693978081e-01,2.5827997040967121e-01,0.0000000000000000e+00,0,0,1.7300359999999999e-03,
8,1.6808607161238394e+00,1.0681491070402229e+00,2.1375932186902387e+00,1.3422941170015859e+00,1.6339790749405649e+00,1.3081336945327442e+01,1.3428478670874804e+00,1.8268441426896633e+00,1.3397016046654986e+01,1.3422941170015859e+00,1.6339790749405649e+00,1.3081336945327442e+01,1.3428478670874804e+00,1.8268441426896633e+00,1.3397016046654986e+01,1.2433857981523631e+00,7.9014365513025098e-01,1.3941924918533639e+00,7.9389834749790633e-01,5.0000000000000011e-01,nan,nan,3.5643879728013285e-02,2.1732370984182516e+00,7.3973160668522353e-01,0.0000000000000000e+00,1.6808607161238394e+00,1.0681491070402229e+00,2.1375932186902387e+00,1.2433857981523631e+00,7.9014365513025098e-01,1.3941924918533639e+00,7.9389834749790633e-01,5.0000000000000011e-01,nan,nan,3.5643879728013285e-02,2.1732370984182516e+00,7.3973160668522353e-01,0.0000000000000000e+00,1.3384380858757671e+01,7.7120622516376358e-02,8.1698953747028269e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.4488020267011912e-01,3.6732030400517862e-01,1.6362244239289658e-01,2.4543366358934482e-01,0.0000000000000000e+00,0,0,1.8894319999999999e-03,
9,1.3356291059753460e+00,1.5161895449890896e+00,2.9713743888273463e+00,1.4024795222704476e+00,1.5851171136384286e+00,1.4125785013993976e+01,1.4032740121792886e+00,1.7722148091968928e+00,1.4149358972033449e+01,1.4024795222704476e+00,1.5851171136384286e+00,1.4125785013993976e+01,1.4032740121792886e+00,1.7722148091968928e+00,1.4149358972033449e+01,6.7346489140665411e-01,7.6450896637380539e-01,7.0359208646084359e-01,7.7031846086226285e-01,5.0000000000000011e-01,nan,nan,8.6130862005798642e-02,3.0575052508331448e+00,5.0423046966684282e-01,0.0000000000000000e+00,1.3356291059753460e+00,1.5161895449890896e+00,2.9713743888273463e+00,6.7346489140665411e-01,7.6450896637380539e-01,7.0359208646084359e-01,7.7031846086226285e-01,5.0000000000000011e-01,nan,nan,8.6130862005798642e-02,3.0575052508331448e+00,5.0423046966684282e-01,0.0000000000000000e+00,1.3977581423134696e+01,9.4427599139559712e-02,7.9255855681921439e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.9608133327129457e-01,2.9412199990694188e-01,1.4966019024795363e-01,2.2449028537193050e-01,0.0000000000000000e+00,0,0,2.1152280000000002e-03,
